Organism	Taxonomy_ID
Treponema denticola	158
Campylobacter jejuni	197
Helicobacter pylori	210
Alteromonas sp.	232
Sphingobacterium thalpophilum JX083378 GenBank	259
Thermus aquaticus	271
Thermus thermophilus	274
Xanthobacter autotrophicus	280
Pseudomonas aeruginosa	287
Pseudomonas fluorescens	294
Pseudomonas putida	303
Pseudomonas sp.	306
Agrobacterium tumefaciens	371
Bradyrhizobium sp.	376
Methylorubrum extorquens	408
Acinetobacter baumannii	470
Acinetobacter sp.	472
Neisseria meningitidis	487
Neisseria polysaccharea	489
Psychrobacter immobilis	498
Citrobacter freundii	546
Enterobacter cloacae	550
Escherichia coli	562
Hafnia alvei	569
Klebsiella pneumoniae	573
Providencia stuartii	588
Serratia marcescens	615
Yersinia pestis	632
Yersinia pseudotuberculosis	633
Haemophilus influenzae	727
[Haemophilus] ducreyi	730
Bacteroides fragilis	817
Fibrobacter succinogenes	833
Oxalobacter formigenes	847
Megasphaera elsdenii	907
Nitrosomonas europaea	915
Allochromatium vinosum	1049
Rhodobacter capsulatus	1061
Rhodocyclus tenuis	1066
Rhodopseudomonas palustris	1076
Chlorobium limicola	1092
Chloroflexus aurantiacus	1108
Anabaena sp.	1167
Nostoc sp.	1180
Leuconostoc mesenteroides	1245
Ruminococcus albus	1264
Micrococcus luteus	1270
Staphylococcus aureus	1280
Staphylococcus hominis	1290
Streptococcus pneumoniae	1313
Enterococcus faecalis	1351
Enterococcus faecium	1352
Lactococcus lactis	1358
Bacillus anthracis	1392
Bacillus cereus	1396
Bacillus licheniformis	1402
Bacillus pumilus	1408
Bacillus sp. (in: Bacteria)	1409
Geobacillus stearothermophilus	1422
Bacillus subtilis	1423
Clostridium acetobutylicum	1488
Clostridioides difficile	1496
[Clostridium] symbiosum	1512
Acetivibrio thermocellus	1515
Lactiplantibacillus pentosus	1589
Limosilactobacillus reuteri	1598
Arthrobacter globiformis	1665
Arthrobacter sp.	1667
Bifidobacterium longum subsp. infantis	1682
Bifidobacterium breve	1685
Corynebacterium ammoniagenes	1697
Brevibacterium sterolicum	1702
Cellulomonas flavigena	1711
Cellulomonas uda	1714
Corynebacterium glutamicum	1718
Corynebacterium sp.	1720
Mycolicibacterium smegmatis	1772
Mycobacterium tuberculosis	1773
Rhodococcus sp.	1831
Rhodococcus erythropolis	1833
Streptomyces antibioticus	1890
Streptomyces coelicolor	1902
Streptomyces fradiae	1906
Streptomyces griseus	1911
Streptomyces lavendulae	1914
Streptomyces phaeochromogenes	1923
Streptomyces sp.	1931
Streptomyces viridochromogenes	1938
Thermomonospora curvata	2020
Thermobifida fusca	2021
Thermoactinomyces vulgaris	2026
Tsukamurella paurometabola	2061
Sporolactobacillus inulinus	2078
Methanocaldococcus jannaschii	2190
Methanosarcina thermophila	2210
Archaeoglobus fulgidus	2234
Haloarcula marismortui	2238
Halobacterium salinarum	2242
Halobacterium sp.	2243
Haloferax mediterranei	2252
Pyrococcus furiosus	2261
Thermococcus litoralis	2265
Thermoproteus tenax	2271
Sulfolobus acidocaldarius	2285
Saccharolobus solfataricus	2287
Thermotoga maritima	2336
Thermotoga neapolitana	2337
plasmid pBC	2528
Aquifex pyrophilus	2714
Symbiobacterium thermophilum	2734
Verrucomicrobium spinosum WP_009961032 GenBank	2736
Phaeodactylum tricornutum	2850
Euglena gracilis	3039
Chlamydomonas reinhardtii	3055
Chlorella sorokiniana	3076
Humulus lupulus	3486
Spinacia oleracea	3562
Carica papaya	3649
Populus trichocarpa	3694
Arabidopsis thaliana	3702
Glycine max	3847
Lens culinaris	3864
Medicago truncatula	3880
Phaseolus vulgaris	3885
Pisum sativum	3888
Trifolium repens	3899
Vicia faba	3906
Hevea brasiliensis	3981
Manihot esculenta	3983
Ricinus communis	3988
Linum usitatissimum	4006
Rauvolfia serpentina	4060
Solanum lycopersicum	4081
Nicotiana tabacum	4097
Solanum chacoense	4108
Solanum tuberosum	4113
Ipomoea batatas	4120
Olea europaea	4146
Avena fatua	4499
Eleusine coracana	4511
Hordeum vulgare	4513
Oryza sativa	4530
Secale cereale	4550
Sorghum bicolor	4558
Triticum aestivum	4565
Zea mays	4577
Ananas comosus	4615
Fungi	4751
Pneumocystis carinii	4754
Schizosaccharomyces pombe	4896
Scheffersomyces stipitis	4924
Saccharomyces cerevisiae	4932
Aspergillus giganteus	5060
Aspergillus niger	5061
Aspergillus oryzae	5062
Penicillium chrysogenum	5076
Penicillium roqueforti	5082
Neurospora crassa	5141
Rhodotorula toruloides	5286
Irpex lacteus	5319
Pleurotus eryngii	5323
Trametes hirsuta	5327
Agaricus bisporus	5341
Candida albicans	5476
Fusarium oxysporum	5507
Rhodotorula mucilaginosa	5537
Leishmania donovani	5661
Leishmania major	5664
Leishmania mexicana	5665
Trypanosoma brucei	5691
Trypanosoma cruzi	5693
Trypanosoma vivax	5699
Trypanosoma brucei brucei	5702
Trichomonas vaginalis	5722
Giardia intestinalis	5741
Entamoeba histolytica	5759
Physarum polycephalum	5791
Toxoplasma gondii	5811
Plasmodium falciparum	5833
Plasmodium vivax	5855
Plasmodium yoelii	5861
Caenorhabditis elegans	6239
Toxocara canis A7YVI5 TrEMBL	6265
Arenicola marina	6344
Mytilus edulis	6550
Gryllus firmus	7000
Bombyx mori	7091
Aedes aegypti	7159
Anopheles dirus	7168
Drosophila melanogaster	7227
Squalus acanthias	7797
Danio rerio	7955
Sparus aurata	8175
Pigeon	8932
Columba livia	8932
Gallus gallus	9031
Macaca fuscata	9542
Homo sapiens	9606
Homo sapiens P00558 GenBank	9606
Canis lupus familiaris	9615
Sus scrofa	9823
Camelus dromedarius	9838
Bos taurus	9913
Ovis aries	9940
Oryctolagus cuniculus	9986
Cricetinae	10026
Cricetulus griseus	10029
Mus musculus	10090
Rattus norvegicus	10116
Cavia porcellus	10141
West Nile virus	11082
Romanomermis culicivorax	13658
Burkholderia pseudomallei	28450
Talaromyces trachyspermus	28566
Salmonella enterica	28901
Fagus sylvatica	28930
Kluyveromyces lactis	28985
Alternaria brassicicola	29001
Haloarcula japonica	29282
Streptomyces arenae	29301
Lactobacillus delbrueckii subsp. lactis	29397
Pseudomonas savastanoi	29438
Brucella melitensis	29459
Veillonella parvula	29466
Janthinobacterium lividum	29581
Spirodela polyrhiza	29656
Mucor mucedo	29922
Tetranychus urticae	32264
Blautia producta	33035
Acidithiobacillus caldus	33059
Geobacillus thermodenitrificans	33940
Humicola insolens	34413
Paraburkholderia xenovorans	36873
Nocardia farcinica	37329
Tolypocladium cylindrosporum	38005
Stenotrophomonas maltophilia	40324
Leptotrichia buccalis	40542
Mammalia	40674
Nandina domestica	41776
Pneumocystis jirovecii	42068
Shewanella benthica	43661
Monopterus albus	43700
Leishmania mexicana mexicana	44270
Pelophylax lessonae	45623
Pseudomonas nitroreducens	46680
Crithidia luciliae	46909
Serratia fonticola	47917
Jaculus orientalis	48868
Rubrobacter xylanophilus	49319
Shewanella sp.	50422
Haloarcula hispanica	51589
Microbacterium sp.	51671
Festuca rubra	52153
Pyrococcus horikoshii	53953
Chara vulgaris	55564
Bulinus truncatus	55810
Poeciliopsis lucida	56613
Aeropyrum pernix	56636
Tritrichomonas foetus	56690
Burkholderia thailandensis	57975
Oleidesulfovibrio alaskensis	58180
Acipenser persicus	61968
Aquifex aeolicus	63363
Penicillium amagasakiense	63559
Pieris rapae	64459
Hypericum perforatum	65561
Setaria cervi	65603
Spbetavirus SPbeta	66797
Edwardsiella ictaluri	67780
Penicillium simplicissimum	69488
Shewanella oneidensis	70863
Colwellia maris	77524
Pseudomonas sp. 130	81841
Agrocybe pediades	84607
Mycothermus thermophilus FJ560721 GenBank	85995
Selaginella moellendorffii	88036
Moritella marina	90736
Pseudaminobacter salicylatoxidans	93369
Desulfurococcus amylolyticus	94694
Oligosoma zelandicum	105743
Mesembryanthemum cordifolium	107607
Acinetobacter calcoaceticus subsp. anitratus	107673
Moritella profunda	111291
Sulfurisphaera tokodaii	111955
Sulfurisphaera tokodaii KC333624 GenBank	111955
Marinomonas mediterranea	119864
Rhodococcus jostii	132919
Curcuma longa	136217
Methanothermobacter thermautotrophicus	145262
Thermosynechococcus vestitus	146786
Atriplex spongiosa	151219
Vigna radiata	157791
Chromohalobacter salexigens	158080
Geobacillus anatolicus	171243
Paracoccus seriniphilus	184748
Leucoagaricus meleagris	201219
Polaromonas naphthalenivorans	216465
Trametes ochracea	230624
Citrullus lanatus subsp. vulgaris	260674
Mycoplasma pneumoniae	272634
Aspergillus nidulans	286162
Cellulomonas bogoriensis	301388
Sulfurihydrogenibium azorense	309806
Thermococcus kodakarensis	311400
Saduria entomon	341131
Rhodovulum steppense	540251
Vibrio cholerae serotype O1	579112
Bifidobacterium catenulatum subsp. kashiwanohense	630129
Aspergillus fumigatus	746128
Pseudarthrobacter siccitolerans	861266
Alburnus tarichi	886298
Lethenteron camtschaticum	980415
Thermothelomyces heterothallicus	1149786
Curvularia lunata	1263492
Talaromyces purpureogenus	1266744
Kurthia huakuii	1421019
Phoma sp.	1707701
Stachybotrys sp.	1718872
Rhodotorula sp.	1853554
Pseudomonas sp. TCU-HL1	1856685
Albifimbria verrucaria	1859699
Cyclocybe aegerita	1973307
Basidiomycota sp.	2093676
Thermothelomyces myriococcoides	2588717
Phanerodontia chrysosporium	2822231
Salmonella enterica subsp. enterica serovar Typhimurium	-
plasmid pGEM-T-easy	-
plasmid RGN238	-
synthetic construct	-
plasmid pBG66	-
Thermophilic bacillus	-
Rauvolfia serpentina x Rhazya stricta	-
Athelia rolfsii	-
Nocardia erythropolis	-
Pseudomonas sp. SY-77-1	-
Acremonium chrysogenum	-
Tequatrovirus T4	-
Bjerkandera fumosa	-
Strychnos mellodora	-
uncultured bacterium	-
Trichormus variabilis	-
Pseudomonas stutzeri	-
[Candida] methylica	-
Gelatoporia subvermispora	-
Xanthobacter sp. 91	-
Trichoderma reesei	-
Streptomyces cattleya	-
Vulcanithermus mediatlanticus	-
