Protein_ID	Accession	Source	Comments
11	-----	-----	[{'comment': '#11# isoform Decr2 <5>'}, {'comment': '#11# isoform Decr2 <5>'}]
18	-----	-----	[{'comment': '#18# isozyme C4H1-1 <16>'}, {'comment': '#18# isozyme C4H1-1 <16>'}]
22	-----	-----	[{'comment': '#22# isoform FUT1 <11>'}, {'comment': '#22# isoform FUT1 <11>'}]
26	-----	-----	[{'comment': '#26# 4CL3, genomic DNA <22>; #26# aldo-keto reductase family 1 member C2, AKR1C2 <18>'}, {'comment': '#26# 4CL3, genomic DNA <22>; #26# aldo-keto reductase family 1 member C2, AKR1C2 <18>'}]
27	Q86ZV0	uniprot	-----
28	Q8GR61	uniprot	-----
30	Q6KAV2	uniprot	-----
31	Q2K0Q7	uniprot	-----
32	P22144	uniprot	-----
33	S6BFC0	uniprot	-----
35	A0A1B4XTS0	uniprot	-----
36	A0A141BGH5	uniprot	-----
37	Q07993	uniprot	-----
38	G3AIB3	uniprot	-----
39	G3AIP8	uniprot	-----
40	A0A3S7PMB5	uniprot	-----
41	A0A3S7PMC4	uniprot	-----
