ID	Title	Authors	Journal	Year	Pages	Volume	PMID
1	A sensitive and stereospecific enzymatic assay for xylulose. J. Biol	Hickman, J.,Ashwell, G.	Chem.	1959	758-761	234	13654257
2	Chirality of xylitol-oxidizing enzymes from mammalian liver	Alizade, M.A.,Brendel, K.,Gaede, K.	FEBS Lett.	1976	41-44	67	8339
3	Inducible xylitol dehydrogenases in enteric bacteria. J	Doten, R.C.,Mortlock, R.P.	Bacteriol.	1985	845-848	162	3886639
4	Characterization of xylitol-utilizing mutants of Erwinia uredovora. J	Doten, R.C.,Mortlock, R.P.	Bacteriol.	1985	529-533	161	2981816
5	Some applications of insolubilised cofactors to the purification of pyridine nucleotide-dependent dehydrogenases. Biochem. Biophys. Res	Lowe, C.R.,Mosbach, K.,Dean, P.D.G.	Commun.	1972	1004-1010	48	4404621
6	The L-xylulose-xylitol enzyme and other polyol dehydrogenases of guinea pig liver mitochondria. J. Biol	Hollmann, S.,Touster, O.	Chem.	1957	87-102	225	13416220
7	The reduction of L-xylulose to xylitol by guinea pig liver mitochondria. J. Biol	Touster, O.,Reynolds, V.H.,Hutcheson, R.M.	Chem.	1954	697-709	221	13357463
8	Isolation and characterization of two xylitol dehydrogenases from Aspergillus niger	Witteveen, C.F.B.,Weber, F.,Busink, R.,Visser, J.	Microbiology	1994	1679-1685	140	-----
9	Amino acid substitutions in the yeast Pichia stipitis xylitol dehydrogenase coenzyme-binding domain affect the coenzyme specificity. Eur. J	Metzger, M.H.,Hollenberg, C.P.	Biochem.	1995	50-54	228	7883010
10	Molecular cloning, expression and tissue distribution of hamster diacetyl reductase. Identity with L-xylulose reductase. Chem. Biol	Ishikura, S.,Isaji, T.,Usami, N.,Kitahara, K.,Nakagawa, J.,Hara, A.	Interact.	2001	879-889	130-132	11306103
11	Structural determinant for cold inactivation of rodent L-xylulose reductase. Biochem. Biophys. Res	Ishikura, S.,Usami, N.,El-Kabbani, O.,Hara, A.	Commun.	2003	68-72	308	12890481
12	Structure-based design of inhibitors of human L-xylulose reductase modelled into the active site of the enzyme. Bioorg. Med. Chem	Carbone, V.,Darmanin, C.,Ishikura, S.,Hara, A.,El-Kabbani, O.	Lett.	2003	1469-1474	13	12668014
13	Identification of amino acid residues involved in substrate recognition of L-xylulose reductase by site-directed mutagenesis. Chem. Biol	Ishikura, S.,Isaji, T.,Usami, N.,Nakagawa, J.,El-Kabbani, O.,Hara, A.	Interact.	2003	543-550	143-144	12604240
14	Molecular characterization of mammalian dicarbonyl/L-xylulose reductase and its localization in kidney. J. Biol	Nakagawa, J.,Ishikura, S.,Asami, J.,Isaji, T.,Usami, N.,Hara, A.,Sakurai, T.,Tsuritani, K.,Oda, K.,Takahashi, M.,Yoshimoto, M.,Otsuka, N.,Kitamura, K.	Chem.	2002	17888-17891	277	11882650
