SMILES	Substrate	Mol_ID
NCCCCO	4-amino-1-butanol	mol_28.sdf
C(C)O	ethanol	mol_23.sdf
C[C@H](CCC)O	(R)-2-pentanol	mol_45.sdf
C[C@H](CC)O	(R)-2-butanol	mol_33.sdf
CCC(CC)O	3-Pentanol	mol_47.sdf
C[C@@H](CCC)O	(S)-2-pentanol	mol_42.sdf
C(CCCCCC)O	1-Heptanol	mol_37.sdf
C(C)OCCO	2-ethoxyethanol	mol_44.sdf
C(CCCCC)O	1-Hexanol	mol_36.sdf
C(\C=C\C1=CC=CC=C1)=O	trans-cinnamaldehyde	mol_38.sdf
C(CCC)O	1-butanol	mol_46.sdf
COC1=CC=C(CO)C=C1	4-methoxybenzyl alcohol	mol_41.sdf
C(CC)O	1-propanol	mol_48.sdf
C(CCCC)O	1-Pentanol	mol_31.sdf
C[C@@H](CC)O	(S)-2-butanol	mol_34.sdf
C(C(C)C)=O	Isobutyraldehyde	mol_32.sdf
C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH	mol_35.sdf
C1(CCCCC1)O	Cyclohexanol	mol_12.sdf
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	mol_11.sdf
CC(CCCCCCCC)=O	2-decanone	mol_69.sdf
CC(C)O	2-propanol	mol_76.sdf
CC(CCCCC)=O	2-Heptanone	mol_72.sdf
CC(CCCCCC)=O	2-Octanone	mol_70.sdf
CC(CCC)=O	2-Pentanone	mol_75.sdf
CC(CCC)O	2-Pentanol	mol_74.sdf
C1(CCCCC1)=O	cyclohexanone	mol_13.sdf
C(C1=CC=CC=C1)O	benzyl alcohol	mol_43.sdf
CC(CCCC)=O	2-Hexanone	mol_78.sdf
COC1=CC=C(C=C1)CC(C)=O	4-methoxyphenylacetone	mol_71.sdf
C(C1=CC=CC=C1)=O	benzaldehyde	mol_39.sdf
CC(CC)O	2-butanol	mol_54.sdf
C(CC(=O)C)(=O)OC(C)(C)C	tert-butyl acetoacetate	mol_77.sdf
C(CCC)=O	Butyraldehyde	mol_40.sdf
C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH	mol_93.sdf
C(CC(=O)C)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	acetoacetyl-CoA	mol_94.sdf
N[C@@H]([C@H](O)C)C(=O)O	L-threonine	mol_105.sdf
N[C@@H](CO)C(=O)O	L-serine	mol_106.sdf
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	mol_79.sdf
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	D-glucose	mol_110.sdf
[C@H]1(CCC2=CC=CC=C12)O	(R)-indanol	mol_116.sdf
C1CC2=CC=CC=C2C(=O)C1	alpha-tetralone	mol_113.sdf
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C	D-fucose	mol_125.sdf
O=C[C@H](O)[C@@H](O)[C@H](O)CO	D-xylose	mol_132.sdf
O=CC[C@@H](O)[C@H](O)[C@H](O)CO	2-deoxy-D-glucose	mol_114.sdf
C1(=CC=CC=C1)C(C(C)=O)=O	phenyl-1,2-propanedione	mol_112.sdf
O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	D-talose	mol_127.sdf
OC1[C@H](N)[C@@H](O)[C@@H](O)[C@H](O1)CO	D-galactosamine	mol_538.sdf
OC1[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	D-glucosamine	mol_131.sdf
O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C	L-fucose	mol_129.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	cellobiose	mol_124.sdf
C1(CC2=CC=CC3=CC=CC1=C23)O	1-Acenaphthenol	mol_118.sdf
C1=CC(C(C=C1)O)O	cis-benzene dihydrodiol	mol_123.sdf
N1C(=O)C(=O)C2=CC=CC=C12	isatin	mol_111.sdf
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	cortisol	mol_143.sdf
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	chenodeoxycholic acid	mol_146.sdf
CC(C)(C=O)C(C(=O)O)O	(R)-4-dehydropantoate	mol_147.sdf
O=CC([C@H](C(=O)[O-])O)(C)CO	ketopantoate	mol_149.sdf
CC(C)(CO)C(=O)C(=O)O	2-dehydropantoate	mol_148.sdf
C([C@H](O)C(C)(C)CO)(=O)[O-]	(R)-pantoate	mol_150.sdf
C1(C(C(C(C(C1O)O)O)O)O)O	myo-inositol	mol_151.sdf
OCC(=O)C1=CC=CC=C1	2-hydroxyacetophenone	mol_138.sdf
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C	testosterone	mol_163.sdf
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O	estrone	mol_161.sdf
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	prostaglandin E2	mol_158.sdf
CC(=O)C	acetone	mol_159.sdf
C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O	9,10-phenanthrenequinone	mol_166.sdf
CC1=CC(=O)C=CC1=O	p-toluquinone	mol_160.sdf
[N+](=O)([O-])C1=CC=C(C=O)C=C1	4-nitrobenzaldehyde	mol_164.sdf
CC1=CC(=O)C2=CC=CC=C2C1=O	menadione	mol_162.sdf
C(C1=CC=CC=C1)(=O)C1=CC=NC=C1	4-benzoylpyridine	mol_165.sdf
CN(CCCC(=O)C1=CN=CC=C1)N=O	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone	mol_176.sdf
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	doxorubicin	mol_170.sdf
C1=CC=C2C(=C1)C3=C(C4=CC=CC=C4C3=O)N(C2=O)CCNCCO	oracin	mol_171.sdf
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O	daunorubicin	mol_168.sdf
C1(C=CC(C2=CC=CC=C12)=O)=O	1,4-Naphthoquinone	mol_186.sdf
CC(C(CCC)=O)=O	2,3-Hexanedione	mol_185.sdf
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCC	3-glutathionyl-hexanal	mol_173.sdf
N(=O)SC[C@H](NC(CC[C@H](N)C(=O)O)=O)C(=O)NCC(=O)O	S-nitrosoglutathione	mol_167.sdf
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCCCCC	3-glutathionyl-nonanal	mol_174.sdf
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(C=O)CCCCCCC	glutathionyl-nonanal	mol_175.sdf
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)CCC=O	3-glutathionyl-propanal	mol_172.sdf
CC=1C(=[N+](C2=CC=CC=C2[N+]1[O-])[O-])C(C)=O	1-(3-methyl-1,4-dioxidoquinoxalin-2-yl)ethanone	mol_178.sdf
CC=1C(=NC2=CC=CC=C2[N+]1[O-])C(C)=O	1-(3-methyl-4-oxidoquinoxalin-2-yl)ethanone	mol_177.sdf
CC(=O)C=O	methylglyoxal	mol_179.sdf
CC(C(CC)=O)=O	2,3-Pentanedione	mol_180.sdf
CC(C(=O)OCC)C(=O)C	ethyl 2-methylacetoacetate	mol_183.sdf
O=C(C(=O)OCC)CCC1=CC=CC=C1	ethyl 2-oxo-4-phenylbutyrate	mol_182.sdf
FC(C(=O)C1=CC=CC=C1)(F)F	2,2,2-trifluoroacetophenone	mol_64.sdf
ClCC(CC(=O)OCC)=O	ethyl 4-chloro-3-oxobutanoate	mol_184.sdf
C1(C(C=CC2=CC=CC=C12)=O)=O	1,2-naphthoquinone	mol_187.sdf
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)=O	androst-4-ene-3,17-dione	mol_189.sdf
C(\C=C\C1=CC=C(C=C1)O)=O	4-coumaryl aldehyde	mol_190.sdf
COC1=C(C=CC(=C1)C=CC=O)O	coniferyl aldehyde	mol_191.sdf
COC1=CC(=CC(=C1O)OC)C=CC=O	sinapyl aldehyde	mol_192.sdf
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)C(=O)[O-]	beta-D-glucuronate	mol_208.sdf
O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)C(=O)[O-]	beta-D-galacturonate	mol_207.sdf
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)[O-]	D-glucuronate	mol_199.sdf
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)[O-]	D-Mannuronate	mol_210.sdf
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]	D-galacturonate	mol_209.sdf
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O	IMP	mol_211.sdf
CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	3-acetylpyridine adenine dinucleotide	mol_213.sdf
CN1C2CCC1CC(C2)O	Tropine	mol_214.sdf
