SMILES	Ligand_name	Mol_ID	InChI	InChIKey
NCCCCO	4-amino-1-butanol	mol_28.sdf	InChI=1S/C4H11NO/c5-3-1-2-4-6/h6H,1-5H2	BLFRQYKZFKYQLO-UHFFFAOYSA-N
C(C)O	ethanol	mol_23.sdf	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	LFQSCWFLJHTTHZ-UHFFFAOYSA-N
C[C@H](CCC)O	(R)-2-pentanol	mol_45.sdf	InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3/t5-/m1/s1	JYVLIDXNZAXMDK-RXMQYKEDSA-N
C[C@H](CC)O	(R)-2-butanol	mol_33.sdf	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m1/s1	BTANRVKWQNVYAZ-SCSAIBSYSA-N
CCC(CC)O	3-Pentanol	mol_47.sdf	InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3	AQIXEPGDORPWBJ-UHFFFAOYSA-N
C[C@@H](CCC)O	(S)-2-pentanol	mol_42.sdf	InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3/t5-/m0/s1	JYVLIDXNZAXMDK-YFKPBYRVSA-N
C(CCCCCC)O	1-Heptanol	mol_37.sdf	InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3	BBMCTIGTTCKYKF-UHFFFAOYSA-N
C(C)OCCO	2-ethoxyethanol	mol_44.sdf	InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3	ZNQVEEAIQZEUHB-UHFFFAOYSA-N
C(CCCCC)O	1-Hexanol	mol_36.sdf	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N
C(\C=C\C1=CC=CC=C1)=O	trans-cinnamaldehyde	mol_38.sdf	InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+	KJPRLNWUNMBNBZ-QPJJXVBHSA-N
C(CCC)O	1-butanol	mol_46.sdf	InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3	LRHPLDYGYMQRHN-UHFFFAOYSA-N
COC1=CC=C(CO)C=C1	4-methoxybenzyl alcohol	mol_41.sdf	InChI=1S/C8H10O2/c1-10-8-4-2-7(6-9)3-5-8/h2-5,9H,6H2,1H3	MSHFRERJPWKJFX-UHFFFAOYSA-N
C(CC)O	1-propanol	mol_48.sdf	InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3	BDERNNFJNOPAEC-UHFFFAOYSA-N
C(CCCC)O	1-Pentanol	mol_31.sdf	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N
C[C@@H](CC)O	(S)-2-butanol	mol_34.sdf	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m0/s1	BTANRVKWQNVYAZ-BYPYZUCNSA-N
C(C(C)C)=O	Isobutyraldehyde	mol_32.sdf	InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3	AMIMRNSIRUDHCM-UHFFFAOYSA-N
C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	NADH	mol_35.sdf	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)	BOPGDPNILDQYTO-UHFFFAOYSA-N
C1(CCCCC1)O	Cyclohexanol	mol_12.sdf	InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2	HPXRVTGHNJAIIH-UHFFFAOYSA-N
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	mol_11.sdf	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)	BAWFJGJZGIEFAR-UHFFFAOYSA-N
CC(CCCCCCCC)=O	2-decanone	mol_69.sdf	InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3	ZAJNGDIORYACQU-UHFFFAOYSA-N
CC(C)O	2-propanol	mol_76.sdf	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	KFZMGEQAYNKOFK-UHFFFAOYSA-N
CC(CCCCC)=O	2-Heptanone	mol_72.sdf	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3	CATSNJVOTSVZJV-UHFFFAOYSA-N
CC(CCCCCC)=O	2-Octanone	mol_70.sdf	InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3	ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
CC(CCC)=O	2-Pentanone	mol_75.sdf	InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3	XNLICIUVMPYHGG-UHFFFAOYSA-N
CC(CCC)O	2-Pentanol	mol_74.sdf	InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3	JYVLIDXNZAXMDK-UHFFFAOYSA-N
C1(CCCCC1)=O	cyclohexanone	mol_13.sdf	InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2	JHIVVAPYMSGYDF-UHFFFAOYSA-N
C(C1=CC=CC=C1)O	benzyl alcohol	mol_43.sdf	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	WVDDGKGOMKODPV-UHFFFAOYSA-N
CC(CCCC)=O	2-Hexanone	mol_78.sdf	InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3	QQZOPKMRPOGIEB-UHFFFAOYSA-N
COC1=CC=C(C=C1)CC(C)=O	4-methoxyphenylacetone	mol_71.sdf	InChI=1S/C10H12O2/c1-8(11)7-9-3-5-10(12-2)6-4-9/h3-6H,7H2,1-2H3	WFWKNGZODAOLEO-UHFFFAOYSA-N
C(C1=CC=CC=C1)=O	benzaldehyde	mol_39.sdf	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N
CC(CC)O	2-butanol	mol_54.sdf	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3	BTANRVKWQNVYAZ-UHFFFAOYSA-N
