EC_number,Organism_name,Protein_file,Mol_file,pH,Temperature,Km_value_with_ref,Value_to_be_retained_for_model,pH,Temperature,Error,Comments
1.1.1.1,Homo sapiens,1U3W.pdb,mol_14.sdf,-----,21-23°C,"[(0.00024, '214'), (0.00149, '214'), (0.00149, '214'), (0.00024, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_15.sdf,-----,21-23°C,"[(0.012, '214'), (0.00055, '214'), (0.00055, '214'), (0.012, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_18.sdf,-----,21-23°C,"[(0.04, '214'), (0.00037, '214'), (0.00037, '214'), (0.04, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_19.sdf,-----,21-23°C,"[(0.009, '214'), (0.0029, '214'), (0.0029, '214'), (0.009, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_20.sdf,-----,21-23°C,"[(0.00031, '214'), (0.0064, '214'), (0.0064, '214'), (0.00031, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_22.sdf,-----,21-23°C,"[(0.076, '214'), (0.00059, '214'), (0.00059, '214'), (0.076, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_24.sdf,-----,21-23°C,"[(0.00057, '214'), (0.0064, '214'), (0.0064, '214'), (0.00057, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_26.sdf,-----,21-23°C,"[(0.0044, '214'), (0.106, '214'), (0.106, '214'), (0.0044, '214')]",-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.1,Homo sapiens,1U3W.pdb,mol_16.sdf,-----,21-23°C,-----,-----,-----,21-23°C,Both values are incorrect. ADH1C isoform to be considered,-----
1.1.1.119,Haloferax mediterranei,2VWG.pdb,mol_108.sdf,-----,-----,"[(0.4, '13'), (0.035, '13'), (0.035, '13'), (0.4, '13')]","(0.035, '13')",-----,-----,-----,Value with NADP as cofactor considered
