EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	kcat_value_with_ref
1.1.1.1	Saccharolobus solfataricus	1R37.pdb	mol_41.sdf	10.5	65°C	[(2.9, '207'), (0.37, '207'), (0.37, '207'), (2.9, '207')]
1.1.1.159	Clostridium sardiniense	5EPO.pdb	mol_79.sdf	and	-----	[(13.76, '21'), (4.89, '27'), (4.89, '27'), (13.76, '21')]
1.1.1.169	Escherichia coli	2OFP.pdb	mol_149.sdf	-----	-----	[(8.0, '9'), (40.0, '9'), (40.0, '9'), (8.0, '9')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_165.sdf	7.4	25°C	[(0.3, '90'), (1.2, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (1.2, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.3, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_176.sdf	7.4	37°C	[(1.0, '90'), (2.02, '90'), (2.02, '90'), (1.0, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_170.sdf	-----	-----	[(0.21, '77'), (0.0103, '76'), (0.0103, '76'), (0.21, '77')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_171.sdf	7.4	37°C	[(1.67, '90'), (0.38, '90'), (0.38, '90'), (1.67, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_168.sdf	7.4	37°C	[(1.27, '90'), (0.48, '90'), (0.48, '90'), (1.27, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_162.sdf	7.4	25°C	[(0.28, '90'), (0.68, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.68, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.28, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_162.sdf	7.4	37°C	[(0.32, '90'), (0.68, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.68, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.32, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_185.sdf	7.4	25°C	[(0.32, '90'), (5.13, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (5.13, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.32, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_186.sdf	7.4	25°C	[(0.25, '90'), (0.55, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.55, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.25, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_165.sdf	7.4	37°C	[(0.25, '90'), (1.2, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (1.2, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.25, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_185.sdf	7.4	37°C	[(1.52, '90'), (5.13, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (5.13, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (1.52, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_166.sdf	7.4	37°C	[(9.77, '90'), (3.57, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (3.57, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (9.77, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_111.sdf	7.4	25°C	[(9.77, '90'), (0.17, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.17, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (9.77, '90')]
1.1.1.205	Cryptosporidium parvum	4IXH.pdb	mol_11.sdf	8	25°C	[(2.6, '104128'), (0.27, '128'), (2.6, '104128'), (0.8, "{66: 'Autosomal dominant retinitis pigmentosa mutations in inosine 5-monophosphate dehydrogenase type I disrupt nucleic acid binding. Biochem,2005', 128: 'Allosteric activation via kinetic control: potassium accelerates a conformational change in IMP dehydrogenase,2011'}"), (0.27, '128'), (2.6, '104128'), (0.27, '128'), (0.8, "{66: 'Autosomal dominant retinitis pigmentosa mutations in inosine 5-monophosphate dehydrogenase type I disrupt nucleic acid binding. Biochem,2005', 128: 'Allosteric activation via kinetic control: potassium accelerates a conformational change in IMP dehydrogenase,2011'}"), (0.8, "{66: 'Autosomal dominant retinitis pigmentosa mutations in inosine 5-monophosphate dehydrogenase type I disrupt nucleic acid binding. Biochem,2005', 128: 'Allosteric activation via kinetic control: potassium accelerates a conformational change in IMP dehydrogenase,2011'}"), (2.6, '104128'), (0.8, "{66: 'Autosomal dominant retinitis pigmentosa mutations in inosine 5-monophosphate dehydrogenase type I disrupt nucleic acid binding. Biochem,2005', 128: 'Allosteric activation via kinetic control: potassium accelerates a conformational change in IMP dehydrogenase,2011'}"), (0.27, '128')]
1.1.1.205	Cryptosporidium parvum	4IXH.pdb	mol_213.sdf	8	25°C	[(3.0, '128'), (0.16, '128'), (0.16, '128'), (3.0, '128')]
1.1.1.21	Homo sapiens	4XZM.pdb	mol_238.sdf	7.4	25°C	[(0.5, '104'), (0.155, '104'), (0.155, '104'), (0.5, '104')]
1.1.1.21	Homo sapiens	4XZM.pdb	mol_235.sdf	7.4	25°C	[(0.078, '104'), (0.165, '104'), (0.165, '104'), (0.078, '104')]
1.1.1.22	Homo sapiens	2Q3E.pdb	mol_264.sdf	7.5	25°C	[(0.55, '75'), (1.4, '56'), (0.55, '75'), (0.59, '76'), (1.4, '56'), (0.55, '75'), (1.4, '56'), (0.59, '76'), (0.59, '76'), (0.55, '75'), (0.59, '76'), (1.4, '56')]
1.1.1.22	Homo sapiens	2Q3E.pdb	mol_264.sdf	8.7	25°C	[(3.2, '55'), (0.85, '59'), (0.85, '59'), (3.2, '55')]
1.1.1.22	Homo sapiens	2Q3E.pdb	mol_11.sdf	7.5	25°C	[(1.8, '56'), (0.94, '76'), (1.8, '56'), (0.76, '75'), (0.94, '76'), (1.8, '56'), (0.94, '76'), (0.76, '75'), (0.76, '75'), (1.8, '56'), (0.76, '75'), (0.94, '76')]
1.1.1.270	Homo sapiens	1MRQ.pdb	mol_294.sdf	7	37°C	[(0.052, '9'), (0.003, '9'), (0.052, '9'), (0.0493, '9'), (0.003, '9'), (0.052, '9'), (0.003, '9'), (0.0493, '9'), (0.0493, '9'), (0.052, '9'), (0.0493, '9'), (0.003, '9')]
