EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	kcat_value_with_ref
1.1.1.169	Thermococcus kodakarensis	5AYV.pdb	mol_150.sdf	6.4	70°C	[(3.8, '20'), (3.17, '20')]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_93.sdf	7.5	35°C	[(1.48, '57'), (1.39, '57')]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_138.sdf	5	35°C	[(1.48, "{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}"), (1.39, '80'), (1.24, '80'), (1.32, "{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}")]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_35.sdf	7.5	35°C	[(1.32, '57'), (1.24, '57')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_111.sdf	7.4	37°C	[(0.3, '90'), (0.17, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_186.sdf	7.4	37°C	[(0.55, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.28, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_166.sdf	7.4	25°C	[(6.7, '90'), (3.57, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_138.sdf	-----	-----	[(1.48, "{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}"), (1.32, "{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_187.sdf	7.4	25°C	[(6.7, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (3.47, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_187.sdf	7.4	37°C	[(6.7, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (3.47, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.203	Agrobacterium tumefaciens	3RFV.pdb	mol_207.sdf	and	-----	[(76.0, '8'), (59.0, '8')]
1.1.1.203	Agrobacterium tumefaciens	3RFV.pdb	mol_208.sdf	and	-----	[(333.0, '8'), (171.0, '8')]
1.1.1.203	Agrobacterium tumefaciens	3RFV.pdb	mol_210.sdf	and	-----	[(92.0, '8'), (85.0, '8')]
1.1.1.205	Eremothecium gossypii	4XTI.pdb	mol_211.sdf	8	28°C	[(3.06, '142'), (2.46, '142')]
1.1.1.24	Corynebacterium glutamicum	3JYP.pdb	mol_11.sdf	7.5	30°C	[(61.1, '15'), (43.7, '15')]
1.1.1.25	Aquifex aeolicus	2HK9.pdb	mol_269.sdf	9	25°C	[(55.5, '43'), (55.0, '29')]
1.1.1.28	Fusobacterium nucleatum subsp. nucleatum	5Z21.pdb	mol_35.sdf	8	30°C	[(110.0, '49'), (90.0, '49'), (80.0, '49')]
1.1.1.28	Fusobacterium nucleatum subsp. nucleatum	5Z21.pdb	mol_293.sdf	8	30°C	[(100.0, '49'), (87.0, '49'), (80.0, "{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}")]
1.1.1.28	Pseudomonas aeruginosa	5Z20.pdb	mol_293.sdf	8	30°C	[(290.0, '49'), (240.0, "{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}")]
1.1.1.30	Alcaligenes faecalis	5B4T.pdb	mol_315.sdf	6.5	30°C	[(0.00768, '56'), (0.006, '55')]
1.1.1.343	Gluconacetobacter diazotrophicus	6VPB.pdb	mol_79.sdf	7.5	-----	[(2.8, '15'), (1.74, '15')]
1.1.1.359	Saccharolobus solfataricus	2CDC.pdb	mol_109.sdf	7.5	70°C	[(75.0, '4'), (48.0, '4')]
1.1.1.359	Saccharolobus solfataricus	2CDC.pdb	mol_126.sdf	7.5	70°C	[(61.3, '3'), (37.4, '3')]
1.1.1.37	Arabidopsis thaliana	5NUE.pdb	mol_300.sdf	7.5	25°C	[(608.0, '157'), (351.0, '157')]
1.1.1.37	Arabidopsis thaliana	5NUE.pdb	mol_35.sdf	7.5	25°C	[(677.0, '157'), (343.0, '157')]
1.1.1.376	Azospirillum brasilense	7CGQ.pdb	mol_79.sdf	9	30°C	[(66.7, "{6: 'Crystal structure of bacterial L-arabinose 1-dehydrogenase in complex with L-arabinose and NADP. Biochem. Biophys. Res,2020'}"), (62.3, '7')]
1.1.1.376	Azospirillum brasilense	7CGQ.pdb	mol_126.sdf	9	30°C	[(26.0, '2'), (19.8, '2')]
1.1.1.38	Homo sapiens	1PJ3.pdb	mol_379.sdf	7.4	30°C	[(55.0, '31'), (43.0, '31')]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_337.sdf	6.8	37°C	[(4.9, '151'), (3.3, '151')]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_337.sdf	7.5	21°C	[(0.034, '160')]
