EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	Km_value_with_ref
1.1.1.1	Homo sapiens	1U3W.pdb	mol_17.sdf	-----	21-23°C	[(0.0038, '214'), (0.0021, '214')]
1.1.1.1	Saccharolobus solfataricus	1R37.pdb	mol_41.sdf	10.5	65°C	[(0.12, '207'), (0.07, '207')]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_93.sdf	7.5	35°C	[(0.63, '57'), (0.59, '57')]
1.1.1.184	Candida parapsilosis	3CTM.pdb	mol_35.sdf	7.5	35°C	[(8.03, '57'), (7.89, '57')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_168.sdf	7.4	37°C	[(0.0852, '60'), (0.067, '90'), (0.043, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_176.sdf	7.4	37°C	[(7.84, '90'), (5.85, '90')]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_162.sdf	7.4	25°C	[(0.018, "{77: 'Two nonsynonymous single nucleotide polymorphisms of human carbonyl reductase 1 demonstrate reduced in vitro metabolism of daunorubicin and doxorubicin. Drug Metab,2009', 90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.014, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_162.sdf	7.4	37°C	[(0.018, "{77: 'Two nonsynonymous single nucleotide polymorphisms of human carbonyl reductase 1 demonstrate reduced in vitro metabolism of daunorubicin and doxorubicin. Drug Metab,2009', 90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.014, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_166.sdf	7.4	25°C	[(0.032, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.018, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_166.sdf	7.4	37°C	[(0.032, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.018, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_187.sdf	7.4	25°C	[(0.117, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.07, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.184	Homo sapiens	1WMA.pdb	mol_187.sdf	7.4	37°C	[(0.117, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"), (0.07, "{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}")]
1.1.1.205	Eremothecium gossypii	4XTI.pdb	mol_11.sdf	8	28°C	[(0.387, '142'), (0.28, '142')]
1.1.1.205	Eremothecium gossypii	4XTI.pdb	mol_211.sdf	8	28°C	[(0.118, '142'), (0.0902, '142')]
1.1.1.205	Cryptosporidium parvum	4IXH.pdb	mol_213.sdf	8	25°C	[(0.22, '128'), (0.19, '128')]
1.1.1.21	Homo sapiens	4XZM.pdb	mol_238.sdf	7.4	25°C	[(0.0033, '104'), (0.0023, '104')]
1.1.1.22	Homo sapiens	2Q3E.pdb	mol_264.sdf	8.7	25°C	[(0.035, '59'), (0.025, '55')]
1.1.1.22	Homo sapiens	2Q3E.pdb	mol_11.sdf	7.5	25°C	[(1.16, '76'), (0.78, '75'), (0.942, '56')]
1.1.1.25	Aquifex aeolicus	2HK9.pdb	mol_269.sdf	9	25°C	[(0.0425, '43'), (0.0424, '29')]
1.1.1.25	Pseudomonas putida	3DOO.pdb	mol_11.sdf	8.8	-----	[(5.43, "{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}"), (5.4, '33')]
1.1.1.27	Homo sapiens	7EPM.pdb	mol_11.sdf	8	-----	[(0.99, '124'), (0.5, '124')]
1.1.1.272	Haloferax mediterranei	5MH6.pdb	mol_93.sdf	8.5	40°C	[(0.054, '1'), (0.046, '1'), (0.031, '1')]
1.1.1.28	Fusobacterium nucleatum subsp. nucleatum	5Z21.pdb	mol_35.sdf	8	30°C	[(0.036, '49'), (0.028, '49'), (0.031, '49')]
1.1.1.282	Escherichia coli	1VI2.pdb	mol_11.sdf	9	20°C	[(0.0184, '6'), (0.0122, '6')]
1.1.1.286	Thermus thermophilus	4YB4.pdb	mol_310.sdf	8	60°C	[(0.405, '1'), (0.29, '7')]
1.1.1.3	Sulfurisphaera tokodaii	7F4C.pdb	mol_11.sdf	8	30°C	[(0.33, "{39: 'Structural insight into activation of homoserine dehydrogenase from the archaeon Sulfolobus tokodaii via reduction. Biochem. Biophys,2015', 52: 'Inhibition of homoserine dehydrogenase by formation of a cysteine-NAD covalent complex. Sci,2018'}"), (0.31, '39')]
1.1.1.30	Pseudomonas fragi	2ZTL.pdb	mol_11.sdf	-----	-----	[(0.24, "{10: 'Comparison of 3-hydroxybutyrate dehydrogenase from bovine heart and rat liver mitochondria. Arch. Biochem,1988', 49: 'Closed complex of the D-3-hydroxybutyrate dehydrogenase induced by an enantiomeric competitive inhibitor. J,2009'}"), (0.17, '49'), (0.13, '41')]
1.1.1.30	Pseudomonas fragi	2ZTL.pdb	mol_316.sdf	-----	-----	[(0.88, '49'), (0.8, '49')]
1.1.1.305	Escherichia coli	2BLN.pdb	mol_318.sdf	8	37°C	[(0.086, '1'), (0.054, '1')]
1.1.1.305	Escherichia coli	2BLN.pdb	mol_11.sdf	8	37°C	[(0.76, '1'), (0.57, '1')]
1.1.1.343	Gluconacetobacter diazotrophicus	6VPB.pdb	mol_11.sdf	7.5	-----	[(0.103, '15'), (0.0529, '15')]
1.1.1.363	Leuconostoc mesenteroides	1E7Y.pdb	mol_200.sdf	7.6	25°C	[(0.114, "{7: 'Identification of an arginine residue in the dual coenzyme-specific glucose-6-phosphate dehydrogenase from Leuconostoc mesenteroides that plays a key role in binding NADP+ but not NAD+. Arch. Biochem,1996', 28: 'Lysine-21 of Leuconostoc mesenteroides glucose 6-phosphate dehydrogenase participates in substrate binding through charge-charge interaction,1992'}"), (0.069, '28')]
1.1.1.37	Arabidopsis thaliana	5NUE.pdb	mol_300.sdf	7.5	25°C	[(0.238, '157'), (0.143, '157')]
1.1.1.376	Azospirillum brasilense	7CGQ.pdb	mol_127.sdf	9	30°C	[(5.87, '2'), (3.95, '2')]
1.1.1.40	Zea mays	1GQ2.pdb	mol_378.sdf	7	-----	[(0.23, "{30: 'Basic residues play key roles in catalysis and NADP(+)-specificity in maize (Zea mays L.) photosynthetic NADP(+)-dependent malic enzyme. Biochem,2004', 34: 'Maize C4 NADP-malic enzyme. Expression in Escherichia coli and characterization of site-directed mutants at the putative nucleoside-binding sites. J. Biol,2003'}"), (0.19, '16,34')]
1.1.1.40	Zea mays	1GQ2.pdb	mol_79.sdf	7	-----	[(0.0086, '16,34'), (0.008, "{30: 'Basic residues play key roles in catalysis and NADP(+)-specificity in maize (Zea mays L.) photosynthetic NADP(+)-dependent malic enzyme. Biochem,2004', 34: 'Maize C4 NADP-malic enzyme. Expression in Escherichia coli and characterization of site-directed mutants at the putative nucleoside-binding sites. J. Biol,2003', 108: 'Plastidial NADP-malic enzymes from grasses: Unraveling the way to the C4 specific isoforms. Plant Physiol,2013', 112: 'Directed evolution of thermotolerant malic enzyme for improved malate production. J. Biosci,2014'}")]
1.1.1.40	Homo sapiens	7X11.pdb	mol_93.sdf	7.4	30°C	[(0.0027, '100'), (0.0019, "{100: 'Structural characteristics of the nonallosteric human cytosolic malic enzyme. Biochim. Biophys,2014'}")]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_310.sdf	6.2	37°C	[(0.042, '151'), (0.027, '151')]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_310.sdf	8	37°C	[(0.067, '151'), (0.038, '151')]
