EC_number	UniProt_ID	Organism_name	Substrate_only	Cofactor_only	Substrate+Cofactor	Apo_structures
1.1.1.1	A0A075B5H4	Sphingomonas sp. A1	-	4TKM_B	-	4TKM_A,4TKL_A,4TKL_B
1.1.1.1	P00327	Equus caballus	5VJ5_A,5VJ5_B,7ADH_A,6CY3_A,5VKR_A,5VJG_A,5ADH_A,6CXX_A,6CXX_B	6NBB_A,6NBB_B,1QLH_A,8G41_B,1ADG_A,1ADF_A,8EIY_A,1JU9_A,1JU9_B,1MGO_A,1A72_A	7UHW_A,7UHW_B,1QV7_A,1QV7_B,1A71_A,1A71_B,5KJ6_A,5KJ6_B,8G2S_A,8G2S_B,7UEF_A,7UEF_B,5KJE_A,5KJE_B,4NG5_A,4NG5_B,6OWM_A,6OWM_B,7UDE_A,7UDE_B,7UC9_A,7UC9_B,1HF3_A,1HF3_B,3BTO_A,3BTO_B,3BTO_C,3BTO_D,7UHX_A,7UHX_B,7UQ9_A,7UQ9_B,6OWP_A,6OWP_B,1BTO_A,1BTO_B,1BTO_C,1BTO_D,7RM6_A,7RM6_B,6O91_A,6O91_B,1P1R_A,1P1R_B,1P1R_C,1P1R_D,8G39_A,8G39_B,1N92_A,1N92_B,5CDS_A,5CDS_B,5KCP_A,5KCP_B,5KJF_A,5KJF_B,1HET_A,1HET_B,7UEE_A,7UEE_B,8G41_A,2OXI_A,2OXI_B,5KCZ_A,5KCZ_B,5KJC_A,5KJC_B,8G2X_A,8G2X_B,7UDD_A,7UDD_B,5CDG_A,5CDG_B,4DXH_A,4DXH_B,4XD2_A,4XD2_B,2JHF_A,2JHF_B,1HLD_A,1HLD_B,4NFS_A,4NFS_B,7UDR_A,7UDR_B,8EIW_A,8EIW_B,3OQ6_A,3OQ6_B,1N8K_A,1N8K_B,7U9N_A,7U9N_B,7U9N_C,7U9N_D,7UCU_A,7UCU_B,1MG0_A,1MG0_B,1MG0_C,1MG0_D,4DWV_A,4DWV_B,4NFH_A,4NFH_B,1ADC_A,1ADC_B,7UEC_A,7UEC_B,1LDY_A,1LDY_B,1LDY_C,1LDY_D,8EIX_A,8EIX_B,7JQA_A,7JQA_B,7JQA_C,7JQA_D,1HEU_A,1HEU_B,5VL0_A,5VL0_B,5VL0_C,5VL0_D,8G4V_A,8G4V_B,2JHG_A,2JHG_B,5VN1_A,5VN1_B,5VN1_C,5VN1_D,6XT2_A,6XT2_B,6XT2_C,6XT2_D,7UHV_A,7UHV_B,8EIY_B,1ADB_A,1ADB_B,1LDE_A,1LDE_B,1LDE_C,1LDE_D,1AXG_A,1AXG_B,1AXG_C,1AXG_D,5KJ1_A,5KJ1_B,6ADH_A,6ADH_B,6OA7_A,6OA7_B,1MGO_B,2OHX_A,2OHX_B,5CDU_A,5CDU_B,7UCA_A,7UCA_B,7K35_A,7K35_B,7K35_C,7K35_D,8G2L_A,8G2L_B,7UEJ_A,7UEJ_B,7UEI_A,7UEI_B,1AXE_A,1AXE_B,1QV6_A,1QV6_B,5CDT_A,5CDT_B,7UA6_A,7UA6_B,7UTW_A,7UTW_B	1YE3_A,8ADH_A,1QLJ_A
1.1.1.1	P00330	Saccharomyces cerevisiae	4W6Z_B,4W6Z_D	-	5ENV_A,5ENV_B,7KCB_A,7KCB_B,7KCB_C,7KCB_D,4W6Z_A,4W6Z_C	7NTM_A,7NTM_B,7NTM_D,7NTM_C
1.1.1.1	P06525	Arabidopsis thaliana	4RQT_A	4RQU_B	-	4RQU_A
1.1.1.1	P39462	Saccharolobus solfataricus	1JVB_A	-	1R37_A,1R37_B	3I4C_A,3I4C_B,3I4C_C,3I4C_D,3I4C_E,3I4C_H,1NTO_A,1NTO_B,1NTO_C,1NTO_D,1NTO_E,1NTO_H,1NVG_A
1.1.1.1	P42328	Geobacillus stearothermophilus	3PII_A,3PII_C,3PII_B,3PII_D,1RJW_A,1RJW_B,1RJW_C,1RJW_D	-	-	-
1.1.1.1	Q4J9F2	Sulfolobus acidocaldarius	-	4FN4_A,4FN4_B,4FN4_C,4FN4_D	-	-
1.1.1.1	Q8GIX7	Moraxella sp.	-	-	-	4Z6K_A,4Z6K_B,4Z6K_C,4Z6K_D
1.1.1.1	Q9Y9P9	Aeropyrum pernix	-	-	1H2B_A,1H2B_B	-
1.1.1.10	Q7Z4W1	Homo sapiens	-	1WNT_A,1WNT_B,1WNT_C,1WNT_D	1PR9_A,1PR9_B,3D3W_A,3D3W_B	-
