PDB_ID	Chains
3SJG	A,B,C,D,E
6W44	A
5O58	A,B
4U4C	A,B
1XY3	A,B,C,D,E,F,G,H
5PKG	A
6TUF	A
6KY6	A,B
5PKW	A
7RES	A,B,C,D,E,F,G,H
4X3S	A,B,C,D
3QH0	A,B,C,D,E,F
2RUR	A
1VEN	A
2C76	A,B
5ALU	A
1ZVI	A
6RUD	A,B,C,D
2WWP	A,B
2DN8	A
4E9A	A
2F8A	A,B
3NYE	A
5VUI	A,B
1GOG	A
6CZC	A,B,C,D
2JCY	A,B
1ML2	A
6TA2	B,A
3HKP	A
3HAT	L,H,I,T
6P9V	A
8OHM	A
1VYQ	A,B,C
4UPM	A,B
6ZCT	A
3D9F	A,B,C,D
4QXM	A,C,E,G
2H6A	A,B
2EWY	A,B,C,D
4XM8	A
4C5W	A
5Z3E	A
1PS9	A
4DKT	A,B
2QU3	A
1XDM	A,B,C,D,W,X,Y,Z
3PNE	A,B
2ZJ9	A,B
6MGJ	A,B,C,D,E,F,G,H
6T7U	A
3NJZ	A
7KXB	A
5LJQ	A
2PM8	A,B,C
7NE4	A
6SDI	A
7NF5	A
4CTQ	A,B
7L6T	A,B,C
5NXM	A
4WQB	A
5Y0V	A,B
2EX0	A,B
3KKU	A
6YH9	A
5Z06	A,B
6C4A	A,B,C,D,E,F,G,H
4ELH	A,H,C,B,G,F,D,E
4KES	A,B,C,D
3HJQ	A
1MED	A
1FW9	A
4R7Y	A,B
1FUQ	A,B
6M5W	A
5PJC	A
2VNE	A,B
7P18	A,B
3NQD	A,B,I,C
1HRN	A,B
4B4Z	A,B,C,D
1JBU	H,L,X
7MB9	A,B,C,D
1BTH	L,H,J,K,P,Q
1PX7	A,B
7TWU	A,B
3MZC	A
3GUS	A,B
6WDY	A
4H46	A
7UCU	A,B
4MPW	A,B
5I5X	A,B
2RKE	A
2H42	A,B,C
1Y2E	A,B
7Z3T	A,B,C,D
2NQ8	A,B,C,D
2W6P	A,B
5KNP	A,B,C,D
6S0H	A,B
2XC9	A,P,T
4RTJ	A,F,G
2VZ2	A,B
3VXD	A,B,C,D
6M2Y	A
5URO	A
1TPV	A,B
5BSH	A,B,C,D,E,F,G,H,I,J
5PJZ	A
1EYZ	A,B
4JTU	A
4PXE	A,B
6BFE	A,B
4E2S	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
2HOB	A,B
1RF9	A
1RX3	A
1SCW	A
5FXE	A,B
3WT3	A,B
6LUU	A
4CTX	A,B
4FW0	A,B
6XHC	A,B
5Z7M	A,B
3HF6	A
2PDH	A
4ENH	A
5CSU	A,B,C,D,E,F
4LS2	A
2C72	A,B
5GHN	A,B
2YZ7	A,B,C,D,E,F,G,H
1VAG	A
6XKD	A,B,C,D
4SRN	A,B
3NOQ	A,B
3QNR	A,B,C
5NZF	A,B,C,D,E,F
2DE7	A,B,C,D,E,F
2C2Z	A,B,C
4R1S	A,B
2AN0	A
6ECG	A,B
1GX2	A,B
5URS	A,B,C,D,E,F,G,H
5YX3	A,B
1CQ7	A
3LU9	A,B,C,D,E,F
2ZY4	A,B,C,D,E,F
4GC6	A,P,T
5OIL	A
6AUQ	A,B
4RTU	A
3SDR	A
4IDR	X
1MI4	A
6K3A	A,B,C,D,E,F
6ICM	A,B,C,D
1N4V	A
4JLN	A,B
1UCW	A,B
5QFG	A
4O36	A,B
5AKJ	A
4LOS	A
5JTP	A,B,C,D,E,F,G,H
6X0J	A,B,C,D
4IH3	A,B,C,D,E,F
3DG9	A
1LDE	A,B,C,D
5AML	A
1ZTQ	A,B,C,D
4TYP	C,B,A,D
2IAO	A
3DHD	A,B
4LWM	A
