EC_number	UniProt_ID	Organism_name	Apo_structures	Holo_mapping
1.1.1.133	Q9LQ04	Arabidopsis thaliana	4QQR_A,4QQR_B	No other examples
1.1.1.14	Q5FNX9	Gluconobacter oxydans	3AWD_A,3AWD_B,3AWD_C,3AWD_D	No similarity
1.1.1.140	D4I194	Erwinia amylovora	5O3Z_A,5O3Z_B,5O3Z_C,5O3Z_D,5O3Z_E,5O3Z_F,5O3Z_G,5O3Z_H,5O3Z_I,5O3Z_J,5O3Z_K,5O3Z_L	No other examples
1.1.1.198	A0A1B3EB36	Pseudomonas sp.	6M5N_A	No other examples
1.1.1.2	P14550	Homo sapiens	2ALR_A	No similarity
1.1.1.200	A5JUQ9	Prunus persica	7S5I_A,7S5I_B	No other examples
1.1.1.202	A0NIJ1	Oenococcus oeni	4FR2_A	No other examples
1.1.1.202	Q59477	Klebsiella pneumoniae	3BFJ_A,3BFJ_B,3BFJ_C,3BFJ_D,3BFJ_E,3BFJ_F,3BFJ_G,3BFJ_H,3BFJ_I,3BFJ_J,3BFJ_K,3BFJ_L,3BFJ_M,3BFJ_N,3BFJ_O,3BFJ_P,3BFJ_Q,3BFJ_R,3BFJ_S,3BFJ_T	No other examples
1.1.1.202	Q7WRJ3	Klebsiella pneumoniae	3BFJ_A,3BFJ_B,3BFJ_C,3BFJ_D,3BFJ_E,3BFJ_F,3BFJ_G,3BFJ_H,3BFJ_I,3BFJ_J,3BFJ_K,3BFJ_L,3BFJ_M,3BFJ_N,3BFJ_O,3BFJ_P,3BFJ_Q,3BFJ_R,3BFJ_S,3BFJ_T	No other examples
1.1.1.247	Q9SQ68	Papaver somniferum	7MBF_A,7MBF_B,7MBF_C,7MBF_D,7MBF_E,7MBF_F	No other examples
1.1.1.264	P39346	Escherichia coli	6DKH_A,6DKH_B,6DKH_C,6DKH_D	No other examples
1.1.1.371	O32223	Bacillus subtilis	3GDO_A,3GDO_B,3GFG_A,3GFG_B,3GFG_C,3GFG_D,3GFG_E,3GFG_F,3GFG_G,3GFG_H,3GFG_I,3GFG_J,3GFG_K,3GFG_L	No other examples
1.1.1.38	P26616	Escherichia coli	6AGS_A	No other examples
1.1.1.4	O34788	Bacillus subtilis subsp. subtilis	6IE0_A,6IE0_B,6IE0_C,6IE0_D	No other examples
1.1.1.42	V5VCI0	Acinetobacter baumannii	5Z16_A,5Z16_B	No similarity
1.1.1.427	Q97YM2	Saccharolobus solfataricus	2H6E_A	No other examples
1.1.1.79	Q9LSV0	Arabidopsis thaliana	3DOJ_A	No other examples
1.1.1.82	Q9YEA1	Aeropyrum pernix	2D4A_B,2D4A_A,2D4A_D,2D4A_C	No other examples
1.1.98.2	Q0RVH7	Mycobacterium tuberculosis	5LXE_A,5LXE_B	No other examples
1.11.1.18	Q8LLW7	Corallina officinalis	1QHB_A,1QHB_B,1QHB_C,1QHB_D,1QHB_E,1QHB_F	No other examples
1.11.1.24	G0RHF8	Trichoderma reesei	6VPD_A,6VPD_B	No similarity
1.13.11.20	Q96SZ5	Homo sapiens	7REI_A	No similarity
1.13.11.6	P47096	Saccharomyces cerevisiae	1ZVF_A,1ZVF_B	No other examples
1.13.12.5	Q9BLZ2	Gaussia princeps	7D2O_A	No similarity
1.14.13.131	E9JFX9	Hyphomicrobium sulfonivorans	6AK1_A,6AK1_B	No other examples
1.14.13.163	F8G0M4	Pseudomonas putida	7DA9_A,7DA9_B	No similarity
1.14.14.12	P9WJA1	Mycobacterium tuberculosis	3AFE_A,3AFE_B,3AFE_C,3AFE_D,3AFF_A,3AFF_B	No other examples
1.14.14.5	P80645	Escherichia coli	1M41_A,1M41_B,1NQK_A	No other examples
1.14.18.1	P14679	Homo sapiens	7RK7_A,7RK7_B,7RK7_C,7RK7_D,7RK7_E	No similarity
1.2.1.12	P39460	Saccharolobus solfataricus	1B7G_O,1B7G_Q	No similarity
1.20.4.1	P74313	Synechocystis sp.	2MYT_A,2L18_A,2MYU_A,2MYN_A,2L19_A,2L17_A,2MYP_A	No other examples
1.3.1.103	Q59I44	Burkholderia sp.	1WLY_A	No other examples
1.3.1.112	Q5FB34	Vitis vinifera	3HFS_A,3HFS_B,2RH8_A	No other examples
1.4.1.19	W8CV45	Nostoc punctiforme	5B37_A,5B37_B,5B37_C,5B37_D,5B37_E,5B37_F	No other examples
1.4.1.28	I0IJU1	Sporosarcina psychrophila	3VPX_A,3VPX_B	No similarity
1.4.1.9	B1YLR3	Exiguobacterium sibiricum	8GXD_A	No other examples
1.5.1.39	A1BCD5	Paracoccus denitrificans	7QW4_A,7QW4_B,7QW4_C,7QW4_D,7QW4_E,7QW4_F,7QW4_G,7QW4_H,7QW4_I,7QW4_J,7QW4_K,7QW4_L,7QW4_M,7QW4_N,7QW4_O,7QW4_P,7QW4_Q,7QW4_R,7QW4_S,7QW4_T	No other examples
1.5.98.2	Q8TXY4	Methanopyrus kandleri	1EZW_A	No other examples
1.8.1.6	Q9BRA2	Homo sapiens	1WOU_A	No other examples
1.8.4.12	Q78J03	Mus musculus	2L1U_A	No other examples
1.8.4.9	P92979	Arabidopsis thaliana	5YRY_A	No other examples
2.1.1.193	P0AGL7	Escherichia coli	4E8B_A	No other examples
2.1.1.217	P54471	Bacillus subtilis	6Q56_A,6Q56_B,6Q56_C,6Q56_D	No other examples
2.1.1.343	K4RFM2	Streptomyces davaonensis	4D7K_A,4D7K_B,4D7K_C,4D7K_D,4D7K_E,4D7K_F	No other examples
2.3.1.160	Q70PR7	Rauvolfia serpentina x Rhazya stricta	2BGH_A,2BGH_B	No other examples
2.3.1.20	K9LL63	Brassica napus	5UZL_A	No similarity
2.3.1.20	P9WQP3	Mycobacterium tuberculosis	1SFR_A,1SFR_B,1SFR_C	No similarity
2.3.1.220	Q8SAS8	Hypericum androsaemum	5UCO_A,5UCO_B	No other examples
2.3.1.282	P9WIN5	Mycobacterium tuberculosis	1Q9J_A,1Q9J_B	No other examples
2.3.1.30	D2Z028	Streptomyces lavendulae	3VVM_A,3VVM_B,3VVL_A,3VVL_B	No similarity
2.3.1.31	Q8F4I0	Leptospira interrogans	2PL5_A	No other examples
2.3.1.37	P08680	Mus musculus	1H7J_A,1H7D_A	No similarity
2.3.1.51	Q9DBL9	Mus musculus	5A4H_A	No other examples
2.3.1.75	A1TX06	Marinobacter nauticus	6CHJ_A,6CHJ_B	No other examples
2.3.2.13	P81453	Streptomyces mobaraensis	3IU0_A,1IU4_A,1IU4_B,1IU4_C,1IU4_D	No other examples
2.3.2.5	Q8P8M4	Xanthomonas campestris	3MBR_X	No similarity
2.4.1.310	P96559	Amycolatopsis orientalis	1IIR_A	No other examples
2.4.1.337	Q93P60	Acholeplasma laidlawii	1Z2T_A	No other examples
2.4.2.30	Q49TP5	Aeromonas hydrophila	3NTS_A,3NTS_B,4FML_A,4FML_B,4FML_C	No similarity
2.4.2.30	W2E3J5	Paenibacillus larvae subsp. larvae	5DZQ_A,5DZQ_O,4TR5_A	No similarity
2.5.1.18	Q60GK5	Bombyx mori	3VK9_A,3VK9_B,3VK9_C,3VK9_D	No similarity
2.5.1.30	Q2FYG6	Staphylococcus aureus	5H9D_A,5H9D_B,5H9D_C,5H9D_D,5H9D_K,5H9D_L	No other examples
2.7.1.1	Q5SLJ4	Thermus thermophilus	3VOV_A,3VOV_B,3VOV_C,3VOV_D	No similarity
2.7.1.31	P42938	Saccharomyces cerevisiae	1ODF_A	No other examples
2.7.1.32	Q22942	Caenorhabditis elegans	1NW1_A,1NW1_B	No similarity
2.7.1.52	Q58T34	Bacteroides fragilis	5YYS_A,5YYS_B,5YYS_C,5YYS_D	No other examples
2.7.2.12	C4M1C3	Entamoeba histolytica	4H0O_A,4H0O_B	No other examples
2.7.3.1	Q6AW43	Namalycastis sp.	3L2E_A,3L2E_B,3L2E_C,3L2E_D	No other examples
2.7.4.14	P30085	Homo sapiens	7E9V_A,1TEV_A	No other examples
2.7.4.2	Q15126	Homo sapiens	3CH4_B	No other examples
2.7.4.8	Q16774	Homo sapiens	6NUI_A	No other examples
2.7.7.4	O66036	Allochromatium vinosum	4DNX_A,4DNX_B	No similarity
2.7.7.8	Q8CST1	Staphylococcus epidermidis	5YJJ_A,5YJJ_B,5YJJ_C,5YJJ_D,5YJJ_E,5YJJ_F	No other examples
2.7.9.1	O76283	Trypanosoma brucei	2X0S_A	No other examples
2.7.9.2	P42850	Pyrococcus furiosus	8A8E_A,8A8E_B,8A8E_C,8A8E_D,8A8E_E,8A8E_F,8A8E_G,8A8E_H,8A8E_I,8A8E_J,8A8E_K,8A8E_L,8A8E_M,8A8E_N,8A8E_O,8A8E_P,8A8E_Q,8A8E_R,8A8E_S,8A8E_T,8A8E_U,8A8E_V,8A8E_W,8A8E_X	No other examples
2.8.1.1	Q8NFU3	Homo sapiens	6BEV_A,6BEV_B	No similarity
2.8.3.19	P76518	Escherichia coli	4HL6_A,4HL6_B,4HL6_C,4HL6_D,4HL6_E,4HL6_F	No other examples
3.1.1.112	P41734	Saccharomyces cerevisiae	3MIL_A,3MIL_B	No other examples
3.1.1.17	B0RN69	Xanthomonas campestris	3DR2_A,3DR2_B	No other examples
3.1.1.2	B5BLW5	Saccharolobus solfataricus	5L2P_A,5L2P_B,5L2P_C,5L2P_D	No similarity
3.1.1.2	P27169	Homo sapiens	1V04_A	No similarity
3.1.1.29	P0A7D1	Escherichia coli	2PTH_A,3VJR_A,3VJR_B,3VJR_C,3VJR_D	No other examples
3.1.1.29	Q9Y3E5	Homo sapiens	1Q7S_A,1Q7S_B	No other examples
3.1.1.73	A0A0M4UW33	Streptomyces cinnamoneus	5YAE_A,5YAL_A	No similarity
3.1.1.73	Q3IL66	Pseudoalteromonas haloplanktis	3LS2_A,3LS2_B,3LS2_C,3LS2_D	No similarity
