Substrate	Protein_ID	Protein_details	Organism_ID	Organism_name	Km_value	Conditions	References
NADP+	-----	-----	16	Arabidopsis thaliana O81852 TREMBL	0.166	#16# pH 8.0, 37°C, purified recombinant soluble enzyme <23>	23
L-homoserine	-----	-----	16	Arabidopsis thaliana O81852 TREMBL	5.2	#16# pH 8.0, 37°C, purified recombinant soluble enzyme <23>	23
ATP	-----	-----	16	Arabidopsis thaliana O81852 TREMBL	5.5	#16# pH 8.0, 37°C, purified recombinant soluble enzyme <23>	23
L-aspartate	-----	-----	16	Arabidopsis thaliana O81852 TREMBL	11.6	#16# pH 8.0, 37°C, purified recombinant soluble enzyme <23>	23
NADPH	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.028	#19# pH 8.0, 25°C <34>	34
NADP+	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.034	#19# pH 8.0, 25°C <34>	34
L-homoserine	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.275	#19# cosubstrate NADP+, pH 8.0, 25°C <34>	34
NAD+	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	2.7	#19# pH 8.0, 25°C <34>	34
L-aspartate 4-semialdehyde	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.098	#19# cosubstrate NADPH, pH 8.0, 25°C <34>	34
NADH	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.158	#19# pH 8.0, 25°C <34>	34
L-homoserine	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	17.4	#19# cosubstrate NAD+, pH 8.0, 25°C <34>	34
L-aspartate 4-semialdehyde	19	{'accessions': ['Q3S3F6'], 'source': 'uniprot'}	19	Glycine max	0.569	#19# cosubstrate NADH, pH 8.0, 25°C <34>	34
NADP+	-----	-----	2	Thermus thermophilus	-----	-----	11,12
NADH	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	0.213	#20# pH 8.0, 25°C <34>	34
NAD+	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	24.9	#20# pH 8.0, 25°C <34>	34
L-aspartate 4-semialdehyde	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	2.19	#20# cosubstrate NADPH, pH 8.0, 25°C <34>	34
NADP+	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	0.235	#20# pH 8.0, 25°C <34>	34
L-aspartate 4-semialdehyde	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	1.19	#20# cosubstrate NADH, pH 8.0, 25°C <34>	34
L-homoserine	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	9.57	#20# cosubstrate NAD+, pH 8.0, 25°C <34>	34
NADPH	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	0.039	#20,21# pH 8.0, 25°C <34>	34
L-homoserine	20	{'accessions': ['O65027'], 'source': 'uniprot'}	20	Glycine max	1.08	#20# cosubstrate NADP+, pH 8.0, 25°C <34>; #37# pH 9.5, 50°C, recombinant enzyme, with NAD+ <47>	34,47
NADH	21	{'accessions': ['O63067'], 'source': 'uniprot'}	21	Glycine max	0.19	#21# pH 8.0, 25°C <34>	34
NADP+	21	{'accessions': ['O63067'], 'source': 'uniprot'}	21	Glycine max	0.245	#21# pH 8.0, 25°C <34>	34
L-homoserine	21	{'accessions': ['O63067'], 'source': 'uniprot'}	21	Glycine max	0.69	#21# cosubstrate NADP+, pH 8.0, 25°C <34>	34
L-aspartate 4-semialdehyde	21	{'accessions': ['O63067'], 'source': 'uniprot'}	21	Glycine max	1.25	#21# cosubstrate NADPH, pH 8.0, 25°C <34>	34
