EC_number	UniProt_ID	Organism_name	Apo_structures	Holo_mapping
5.3.1.5	P26997	Thermus thermophilus	1BXB_A	4ZB2_A
4.2.2.2	Q9RHW0	Bacillus sp. (in: Bacteria)	1EE6_A	3VMW_A
3.4.16.4	P39042	Streptomyces sp.	1ES5_A	1PW8_A
2.5.1.31	O82827	Micrococcus luteus	1F75_A	4H2J_A
4.4.1.5	P0AC81	Escherichia coli	1FA5_A	2C21_A
3.5.2.6	P16897	Pseudomonas aeruginosa	1G6A_A	7U4B_A
4.2.1.10	P54517	Bacillus subtilis	1GQO_A	6HSA_A
2.7.3.2	P06732	Homo sapiens	1I0E_A	7TUN_A
2.7.7.7	P96022	Saccharolobus solfataricus	1IM4_A	3KHG_A
4.1.1.48	Q56319	Thermotoga maritima	1J5T_A	1LBF_A
5.1.1.20	P51981	Escherichia coli	1JPD_A	1TKK_A
3.6.1.1	P95765	Streptococcus gordonii	1K20_A	2HAW_A
2.7.1.71	P0A6D7	Escherichia coli	1KAG_A	4Y0A_A
2.5.1.104	Q8U4G1	Pyrococcus furiosus	1MJF_A	3ANX_A
6.1.1.15	Q58635	Methanocaldococcus jannaschii	1NJ8_A	1NJ1_A
1.1.1.44	P31072	Trypanosoma brucei	1PGJ_A	4GWK_A
3.4.13.9	P81535	Pyrococcus furiosus	1PV9_A	5CIK_A
4.1.2.13	P05062	Homo sapiens	1QO5_A	5TLH_A
3.2.1.21	Q9YGA8	Thermosphaera aggregans	1QVB_A	4PTX_A
6.1.1.10	Q9V011	Pyrococcus abyssi	1RQG_A	1F4L_A
3.6.1.1	Q8U438	Pyrococcus furiosus	1TWL_A	5LS0_B
3.6.1.1	O59570	Pyrococcus horikoshii	1UDE_A	5LS0_B
3.1.1.2	P27169	Homo sapiens	1V04_A	4G2D_A
1.8.4.14	P76270	Escherichia coli	1VHM_A	4MN7_B
2.2.1.2	Q9WYD1	Thermotoga maritima	1VPX_A	6YRH_A
2.4.1.10	Q43998	Gluconacetobacter diazotrophicus	1W18_A	6M0E_A
2.7.4.6	Q9SP13	Pisum sativum	1W7W_A	6XP7_A
1.1.1.85	P50455	Sulfurisphaera tokodaii	1WPW_A	4Y1P_A
3.4.13.9	O58885	Pyrococcus horikoshii	1WY2_A	5CIK_A
6.1.1.4	O58698	Pyrococcus horikoshii	1WZ2_C	6KQY_A
3.1.3.11	Q8TZH9	Pyrococcus furiosus	1XI6_A	7CVH_A
1.20.4.4	P45947	Bacillus subtilis	1Z2D_A	1RXI_A
3.1.3.48	Q15256	Homo sapiens	2A8B_A	3D44_B
4.2.1.130	Q46948	Escherichia coli	2AB0_A	4GE0_A
2.5.1.90	Q9X1M1	Thermotoga maritima	2AZL_A	5ZLF_A
3.2.1.78	Q8WPJ2	Mytilus edulis	2C0H_A	1QNP_A
6.1.1.1	Q9YA64	Aeropyrum pernix	2CYA_A	1ZH6_A
3.4.19.5	Q9ZSD6	Lupinus luteus	2GEZ_A	1ONW_A
3.4.13.9	O58691	Pyrococcus horikoshii	2HOW_A	5CIK_A
4.2.1.90	P77215	Escherichia coli K-12	2I5Q_A	3CXO_A
3.5.4.40	Q9RW45	Deinococcus radiodurans	2IMR_A	3V7P_A
1.1.1.42	O29610	Archaeoglobus fulgidus	2IV0_A	1AI2_A
3.2.2.27	Q9KPK8	Vibrio cholerae	2JHQ_A	1Q3F_C
6.3.2.4	Q2N4T5	Helicobacter pylori	2PVP_A	2YZM_A
3.5.2.6	P85302	Pseudomonas fluorescens	2QZ6_A	2Q9M_A
1.1.1.27	P50933	Deinococcus radiodurans	2V6B_A	2E37_A
3.8.1.5	A6G7B1	Plesiocystis pacifica	2XT0_A	4FWB_A
3.1.1.1	Q8NKS0	Pyrobaculum calidifontis	2YH2_A	1JJI_A
3.2.1.97	Q3T552	Bifidobacterium longum	2ZXQ_A	3ECQ_A
3.2.1.21	Q51723	Pyrococcus furiosus	3APG_A	4PTX_A
4.1.1.4	P23670	Clostridium acetobutylicum	3BH2_A	3BGT_A
3.4.14.4	Q08225	Saccharomyces cerevisiae	3CSK_A	5EHH_A
4.1.1.33	P53602	Homo sapiens	3D4J_A	1FI4_A
2.7.11.21	Q6DRK7	Danio rerio	3D5V_A	4B6L_A
4.3.3.7	Q6GH13	Staphylococcus aureus	3DAQ_A	5T25_A
2.3.1.157	A5U161	Mycobacterium tuberculosis	3DK5_A	2GGQ_A
4.3.3.7	Q9JZR4	Neisseria meningitidis	3FLU_A	5T25_A
3.5.3.12	Q9ZN18	Helicobacter pylori	3HVM_A	6B2W_A
1.11.1.24	Q9PER7	Xylella fastidiosa	3IXR_A	4XS4_B
3.1.3.48	Q99956	Homo sapiens	3LJ8_A	7UMV_A
3.1.1.73	Q3IL66	Pseudoalteromonas haloplanktis	3LS2_A	6FAT_A
5.3.2.6	O29588	Archaeoglobus fulgidus	3M20_A	1BJP_A
5.3.2.6	A9W9U6	Chloroflexus aurantiacus	3MB2_A	1BJP_A
4.1.1.20	Q9KVL7	Vibrio cholerae serotype O1	3N2B_A	1HKV_A
1.1.1.184	Q5FQJ0	Gluconobacter oxydans	3N2T_A	6KIY_A
