EC_number	UniProt_ID	PDB_IDs	Organism_name
1.1.1.1	A0A075B5H4	4TKM,4TKL	Sphingomonas sp. A1
1.1.1.1	B2ZRE3	4CPD	Thermus sp.
1.1.1.1	P00326	1U3W,1HT0	Homo sapiens
1.1.1.1	P00327	7UHW,1YE3,1QV7,1A71,5KJ6,8G2S,7UEF,5KJE,4NG5,6OWM,7UDE,7UC9,5VJ5,7ADH,1HF3,3BTO,7UHX,6NBB,7UQ9,6OWP,1BTO,7RM6,6O91,1P1R,6CY3,8G39,8ADH,1N92,1QLH,5CDS,5KCP,5KJF,1HET,7UEE,8G41,2OXI,5KCZ,5KJC,8G2X,7UDD,5CDG,4DXH,4XD2,2JHF,1HLD,5VKR,4NFS,7UDR,8EIW,3OQ6,1N8K,1QLJ,7U9N,7UCU,1MG0,4DWV,4NFH,1ADC,7UEC,1LDY,8EIX,7JQA,1HEU,5VL0,1ADG,8G4V,2JHG,5VN1,5VJG,5ADH,6XT2,1ADF,7UHV,8EIY,1ADB,1LDE,1AXG,5KJ1,1JU9,6ADH,6OA7,1MGO,2OHX,5CDU,7UCA,7K35,8G2L,6CXX,7UEJ,7UEI,1AXE,1QV6,5CDT,7UA6,1A72,7UTW	Equus caballus
1.1.1.1	P00330	5ENV,7KCB,4W6Z,7NTM	Saccharomyces cerevisiae
1.1.1.1	P06525	4RQT,4RQU	Arabidopsis thaliana
1.1.1.1	P08319	3COS	Homo sapiens
1.1.1.1	P39462	3I4C,1R37,1NTO,1JVB,1NVG	Saccharolobus solfataricus
1.1.1.1	P42328	3PII,1RJW	Geobacillus stearothermophilus
1.1.1.1	Q4J9F2	4FN4	Sulfolobus acidocaldarius
1.1.1.1	Q8GIX7	4Z6K	Moraxella sp.
1.1.1.1	Q9Y9P9	1H2B	Aeropyrum pernix
1.1.1.10	Q7Z4W1	1PR9,3D3W,1WNT	Homo sapiens
1.1.1.100	O54438	4BNW,4BO4,4AG3,4BNZ,4BNX,4AFN,4BNV,4BO8,4BNT,4BO2,4BNY,4BO1,4BO7,4BO6,4BO9,4BO0,4BO3,4BO5,4BNU	Pseudomonas aeruginosa
1.1.1.100	P14697	3VZQ,4N5N,3VZR,4N5M,3VZS,4N5L,3VZP	Cupriavidus necator
1.1.1.100	P35731	4FDA,4FD3,4HBG	Saccharomyces cerevisiae
1.1.1.100	P71534	5OVL,5OVJ,5OVK	Mycolicibacterium smegmatis
1.1.1.100	Q31QF3	4DML,4DMM	Synechococcus elongatus PCC 7942 = FACHB-805
1.1.1.103	D6PBM7	5Y1F,5Y1G,5Y1E,5Y1D	uncultured archaeon
1.1.1.103	O58389	2D8A,2DFV	Pyrococcus horikoshii
1.1.1.103	Q8K3F7	4YRB,4YR9,4YRA	Mus musculus
1.1.1.103	Q8KZM4	2YY7	Cytophaga sp.
1.1.1.103	Q97BK3	3A1N,3A9W,3A4V,3AJR	Thermoplasma volcanium
1.1.1.119	Q96ZY1	2YR2,2EB7,3GEZ,3GFL,3GFM,2GXG,3GFJ,3GFI,3GF2	Sulfurisphaera tokodaii
1.1.1.119	Q977U7	2VWG,2VWP,2VWH,2VWQ,2B5V,2B5W	Haloferax mediterranei
1.1.1.12	Q7SI09	3M6I	Neurospora crassa
1.1.1.121	Q5SLC4	2D1Y	Thermus thermophilus HB8
1.1.1.121	Q9HK51	2DTE,2DTD,2DTX,2ZK7	Thermoplasma acidophilum
1.1.1.133	Q9LQ04	4QQR	Arabidopsis thaliana
1.1.1.138	P0C0Y5	3GDF,7KRG,3GDG	Cladosporium herbarum
1.1.1.14	Q5FNX9	3AWD	Gluconobacter oxydans
1.1.1.14	Q9KWR5	5ITG	Gluconobacter oxydans
1.1.1.140	D4I194	5O3Z	Erwinia amylovora
