EC_number	UniProt_ID	Organism_name	WT_structures	Mutant_structures	Structure_type
1.1.1.1	A0A075B5H4	Sphingomonas sp. A1	-	4TKM	Cofactor only
1.1.1.1	P00327	Equus caballus	2JHF,4XD2,7UC9,7UCA,7UCU,7UDD,7UDE,7UA6,5KCP,4DXH,4DWV,5KJ6,1HEU,1HET,7UEI,7UDR,2JHG,7UEF,7K35,7UEJ,5VL0,7UEE,5KJC,7UEC,5KJ1,5VN1,7UTW,7UQ9,5CDS,7RM6,1N92,7JQA,6XT2,1P1R,5CDU,8EIW,3BTO,5CDT,1MG0,1HF3,1BTO,1AXE,8EIX,1LDE,1LDY,8EIY	4NG5,4NFS,6O91,6OA7,6OWM,1N8K,6OWP,5KCZ,8G4V,1MGO,3OQ6,5KJF,4NFH,5KJE,7UHW,7UHV,7UHX,5CDG,8G2L,8G39,8G2S,8G2X,8G41,1QV7,1QV6,2OHX,1A71,2OXI,1HLD,7U9N,1ADB,1AXG,1ADC,6ADH	Substrate+Cofactor
1.1.1.1	P00330	Saccharomyces cerevisiae	7KCB	4W6Z,5ENV	Substrate+Cofactor
1.1.1.1	P06525	Arabidopsis thaliana	-	4RQT	Substrate only
1.1.1.1	P39462	Saccharolobus solfataricus	1R37	-	Substrate+Cofactor
1.1.1.1	P42328	Geobacillus stearothermophilus	-	1RJW,3PII	Substrate only
1.1.1.1	Q4J9F2	Sulfolobus acidocaldarius	-	4FN4	Cofactor only
1.1.1.1	Q9Y9P9	Aeropyrum pernix	-	1H2B	Substrate+Cofactor
1.1.1.10	Q7Z4W1	Homo sapiens	3D3W	1PR9	Substrate+Cofactor
1.1.1.100	P14697	Cupriavidus necator	-	3VZS	Substrate+Cofactor
1.1.1.100	P35731	Saccharomyces cerevisiae	-	4FDA,4HBG	Cofactor only
1.1.1.100	P71534	Mycolicibacterium smegmatis	-	5OVK,5OVL	Cofactor only
1.1.1.103	D6PBM7	uncultured archaeon	-	5Y1G,5Y1E	Substrate+Cofactor
1.1.1.103	O58389	Pyrococcus horikoshii	-	2D8A,2DFV	Substrate+Cofactor
1.1.1.103	Q8K3F7	Mus musculus	-	4YR9,4YRB	Cofactor only
1.1.1.103	Q97BK3	Thermoplasma volcanium	-	3AJR,3A4V,3A9W	Substrate+Cofactor
1.1.1.119	Q96ZY1	Sulfurisphaera tokodaii	-	3GF2	Substrate only
1.1.1.12	Q7SI09	Neurospora crassa	-	3M6I	Cofactor only
1.1.1.121	Q5SLC4	Thermus thermophilus HB8	-	2D1Y	Cofactor only
1.1.1.149	A7A7R9	Bifidobacterium adolescentis	-	6M9U	Substrate only
